      # [ TIME START ] :	Sun Apr 10 17:52:26 2022
# =====================    CONFIGURATION PARAMETERS    =====================
     # [ ATOM_NUMBER ] :	3072
      # [ BOX_LENGTH ] :	31.3202, 31.3202, 31.3202
# =====================    ATOMIC PARAMETERS    =====================
     # [ ATOM_CHARGE ] :	-0.8476 , 0.4238
       # [ ATOM_MASS ] :	15.9994 , 1.00794
# =====================    PAIRWISE PARAMETERS    =====================
        # [ SHIFT_b1 ] :	6
        # [ SHIFT_b2 ] :	10
        # [ LJ_SIGMA ] :	3.166
      # [ LJ_EPSCLON ] :	65
     # [ LJ_SHIFT_C0 ] :	0.00277399
     # [ LJ_SHIFT_C3 ] :	-7.28056e-05
     # [ LJ_SHIFT_C4 ] :	1.12955e-05
        # [ R4PIE_EL ] :	138935
        # [ ALPHA_EK ] :	0.222222
    # [ EEL_SHIFT_C0 ] :	-0.000849351
    # [ EEL_SHIFT_C3 ] :	3.03437e-05
    # [ EEL_SHIFT_C4 ] :	-4.92204e-06
# =====================    MD PARAMETERS    =====================
           # [ DELTA ] :	0.001
      # [ TOTAL_STEP ] :	10000
      # [ CHECK_STEP ] :	10
# =====================    MD LOOP    =====================
        # LOOP INDEX          TEMPRETURE        TOTAL ENERGY             KINETIC     POTENTIAL INTER     POTENTIAL INTRA              VIRIAL
                2740             291.723            -1117.27             363.828            -1708.67             227.568                   0
                2750             298.645            -1117.31             372.461            -1707.16             217.388                   0
                2760             294.778             -1117.5             367.638            -1705.65             220.503                   0
                2770             291.147            -1117.39             363.109            -1691.39             210.888                   0
                2780             296.541            -1117.09             369.836            -1712.61             225.685                   0
                2790             295.422            -1117.31             368.441            -1708.42             222.662                   0
                2800             298.012            -1117.69             371.672            -1721.77             232.406                   0
                2810             295.798             -1117.4              368.91             -1718.1             231.798                   0
                2820             290.098            -1116.96             361.801             -1718.3             239.541                   0
                2830             293.039            -1117.27             365.469            -1706.36             223.617                   0
                2840             298.518            -1117.79             372.302             -1717.4             227.316                   0
                2850             294.244            -1117.54             366.972            -1696.26             211.744                   0
                2860             294.784            -1117.08             367.646            -1707.21             222.483                   0
                2870             296.094            -1117.16              369.28            -1700.63             214.189                   0
                2880             295.239            -1117.52             368.213             -1706.9             221.171                   0
                2890             294.514            -1117.62             367.309            -1704.39              219.46                   0
                2900             300.294            -1117.38             374.517            -1727.71             235.807                   0
                2910             295.591            -1117.01             368.652            -1721.19             235.533                   0
                2920             295.171            -1117.07             368.128            -1724.01             238.812                   0
                2930             298.947            -1117.58             372.837            -1717.96             227.543                   0
                2940             300.301            -1117.63             374.526            -1714.48             222.319                   0
                2950             300.199            -1117.19               374.4            -1714.21             222.621                   0
                2960             299.519            -1117.13             373.551            -1712.04             221.364                   0
                2970             297.819            -1117.52             371.431            -1706.09             217.136                   0
                2980             305.132            -1117.66             380.552            -1720.35             222.137                   0
                2990             298.488            -1117.17             372.266            -1718.56             229.118                   0
                3000             293.077            -1117.06             365.516            -1718.49             235.917                   0
                3010             291.671            -1117.46             363.763            -1715.54             234.323                   0
                3020             297.766            -1117.48             371.365            -1720.02             231.179                   0
                3030             299.731             -1117.2             373.815            -1720.64             229.623                   0
                3040             301.213            -1117.48             375.664            -1712.65              219.51                   0
                3050             301.582            -1117.74             376.124             -1710.8             216.939                   0
                3060             300.992            -1117.27             375.388            -1711.09              218.43                   0
                3070             295.837            -1117.09             368.959            -1710.85             224.802                   0
                3080              298.11            -1117.66             371.794            -1713.09              223.64                   0
                3090             297.788            -1117.74             371.392            -1720.73             231.605                   0
                3100             293.166            -1117.12             365.628            -1718.02             235.276                   0
                3110             296.346            -1117.09             369.594            -1730.46             243.777                   0
                3120             299.121            -1117.74             373.054            -1716.23             225.445                   0
                3130             301.513            -1117.65             376.037            -1718.77             225.077                   0
                3140             296.693             -1117.1             370.027            -1710.25              223.13                   0
                3150             294.594             -1117.3             367.409            -1702.62             217.906                   0
                3160             299.151            -1117.65             373.092            -1705.32              214.58                   0
                3170             302.232             -1117.4             376.934            -1714.53             220.196                   0
                3180             293.176            -1117.11              365.64            -1710.82             228.066                   0
                3190             295.982             -1117.4              369.14            -1716.25             229.708                   0
                3200             300.374            -1117.65             374.617            -1724.23             231.961                   0
                3210             294.605            -1117.24             367.422            -1715.27              230.61                   0
                3220             294.839            -1117.16             367.714            -1718.81             233.929                   0
                3230             294.819            -1117.52              367.69            -1705.01             219.798                   0
                3240             297.774            -1117.53             371.374            -1713.89             224.981                   0
                3250             295.668             -1117.2             368.748            -1705.65             219.697                   0
                3260             288.541            -1117.34             359.859            -1694.74             217.537                   0
                3270              296.01            -1117.66             369.174            -1707.08             220.242                   0
                3280             294.587            -1117.41               367.4            -1709.16             224.348                   0
                3290             290.649            -1117.14             362.489            -1706.39             226.764                   0
                3300             289.187            -1117.38             360.665             -1706.5             228.453                   0
                3310             291.226            -1117.54             363.208            -1704.76             224.016                   0
                3320             291.628            -1117.28              363.71            -1705.66             224.663                   0
                3330              288.98            -1117.16             360.407            -1699.16             221.598                   0
                3340             293.006            -1117.52             365.428            -1695.16             212.209                   0
                3350             294.452            -1117.72             367.232            -1695.47             210.522                   0
                3360              294.39            -1117.36             367.154            -1701.74             217.226                   0
                3370             288.269            -1117.04             359.521            -1698.07             221.509                   0
                3380             286.467            -1117.28             357.273             -1701.6             227.042                   0
                3390             290.761            -1117.65             362.629            -1703.88             223.598                   0
                3400             287.202             -1117.4             358.189            -1703.54             227.942                   0
                3410             292.062            -1117.07             364.251            -1711.29             229.971                   0
                3420             291.291            -1117.17              363.29            -1706.96             226.502                   0
                3430             293.722            -1117.58             366.321             -1703.4             219.498                   0
                3440             296.983             -1117.6             370.388            -1708.07             220.083                   0
                3450             290.605            -1117.26             362.434            -1704.27             224.573                   0
                3460             288.166            -1117.14             359.392            -1704.67             228.145                   0
                3470             293.804            -1117.42             366.424            -1712.81              228.97                   0
                3480             296.043            -1117.56             369.216            -1716.18             229.407                   0
                3490             292.125             -1117.3             364.329            -1716.32             234.687                   0
                3500             294.906            -1117.16             367.798            -1717.34             232.383                   0
                3510             291.412            -1117.26             363.441            -1711.51             230.813                   0
                3520             290.379            -1117.48             362.152            -1706.04             226.408                   0
                3530             292.855            -1117.57              365.24            -1708.29             225.488                   0
                3540             285.463            -1117.28             356.021            -1696.74             223.442                   0
                3550             290.393            -1117.03              362.17            -1707.71             228.515                   0
                3560             292.464            -1117.15             364.752            -1710.29             228.393                   0
                3570             290.269            -1117.57             362.014            -1707.45             227.868                   0
                3580             293.992            -1117.69             366.658            -1709.52             225.176                   0
                3590             293.603            -1117.12             366.173            -1712.61             229.322                   0
                3600             289.415            -1116.94              360.95            -1710.27             232.384                   0
                3610             290.148            -1117.44             361.864            -1707.71             228.409                   0
                3620             290.896            -1117.62             362.796            -1704.99             224.571                   0
                3630             295.005            -1117.19             367.921            -1711.53             226.418                   0
                3640             288.941            -1117.03             360.358            -1706.16             228.774                   0
                3650             292.873            -1117.43             365.262            -1706.47             223.782                   0
                3660             295.402            -1117.53             368.417            -1709.02             223.066                   0
                3670             288.666            -1117.14             360.015            -1706.44             229.283                   0
                3680             287.336            -1117.15             358.357            -1705.06             229.553                   0
                3690             292.412            -1117.45             364.687            -1713.47             231.335                   0
                3700              288.97            -1117.36             360.395             -1704.1             226.338                   0
                3710             289.763            -1117.11             361.384            -1710.54             232.042                   0
                3720             292.626             -1117.3             364.954            -1706.61             224.348                   0
